Title	Debate	Date	Participants	Moderators	Speaker	Text
October 11, 1992 First Half Debate Transcript	The First Clinton-Bush-Perot Presidential Debate(First Half of Debate)	1992-10-11	Clinton-Bush-Perot	LEHRER	PEROT	I think the principal that separates me is that 5 and a half million people came together on their own and put me on the ballot. I was not put on the ballot by either of the 2 parties; I was not put on the ballot by any PAC money, by any foreign lobbyist money, by any special interest money. This is a movement that came from the people. This is the way the framers of the Constitution intended our government to be, a government that comes from the people. Over time we have developed a government that comes at the people, that comes from the top down, where the people are more or less treated as objects to be programmed during the campaign with commercials and media events and fear messages and personal attacks and things of that nature. The thing that separates my candidacy and makes it unique is that this came from millions of people in 50 states all over this country who wanted a candidate that worked and belonged to nobody but them. I go into this race as their servant, and I belong to them. So this comes from the people.
October 11, 1992 First Half Debate Transcript	The First Clinton-Bush-Perot Presidential Debate(First Half of Debate)	1992-10-11	Clinton-Bush-Perot	LEHRER	PEROT	Well, they’ve got a point. I don’t have any experience in running up a $4 trillion debt. (Laughter.) I don’t have any experience in gridlock government where nobody takes responsibility for anything and everybody blames everybody else. I don’t have any experience in creating the worst public school system in the industrialized world, the most violent crime-ridden society in the industrialized world. Â But I do have a lot of experience in getting things done. So, if we’re at a point in history where we want to stop talking about it and do it, I’ve got a lot of experience in figuring out how to solve problems, making the solutions work, and then moving on to the next one. I’ve got a lot of experience in not taking 10 years to solve a 10-minute problem. So, if it’s time for action, I think I have experience that counts. If there’s more time for gridlock and talk and finger pointing, I’m the wrong man.
October 11, 1992 First Half Debate Transcript	The First Clinton-Bush-Perot Presidential Debate(First Half of Debate)	1992-10-11	Clinton-Bush-Perot	LEHRER	PEROT	I think the American people will make their own decisions on character and at a time when we have work to do and we need action I think they need to clearly understand the backgrounds of each person. I think the press can play a huge roll in making sure that the backgrounds are clearly presented in an objective way. Then, make a decision. Certainly anyone in the White House should have the character to be there. But, I think it’s very important to measure when and where things occurred. Did they occur when you were a young person, in your formative years? Or did they occur while you were a senior official in the federal government? When youâ€™re a senior official in the federal government spending billions of dollars in taxpayerâ€™s money and youâ€™re a mature individual and you make a mistake, then that was on our ticket. If you make it as a young man, time passes. So I would say just, you know, look at all three of us. Decide who you think will do the job. Pick that person in November because believe me, as I’ve said before, “The party’s over and it’s time for the clean-up crew.” And we do have to have change and people who never take responsibility for anything when it happens on their watch and people who are in charge —
October 11, 1992 First Half Debate Transcript	The First Clinton-Bush-Perot Presidential Debate(First Half of Debate)	1992-10-11	Clinton-Bush-Perot	LEHRER	PEROT	We’ve got to have a growing, expanding job base to give us a growing, expanding tax base. Right now we have a flat to deteriorating job base and where it appears to be growing, it’s minimum-wage jobs. So we’ve got to really rebuild our job base. That’s going to take money for infrastructure and investment to do that. Our foreign competitors are doing it; we’re not. We cannot pay off the $4 trillion debt, balance the budget and have the industries of the future and the high- paying jobs in this country without having the revenue. We’re going to go through a period of shared sacrifice. There’s one challenge. It’s got to be fair. We’ve created a mess, don’t have much to show for it and we have got to fix it. And that’s about all I can say in a minute.
October 11, 1992 First Half Debate Transcript	The First Clinton-Bush-Perot Presidential Debate(First Half of Debate)	1992-10-11	Clinton-Bush-Perot	LEHRER	PEROT	If I’m poor and you’re rich, and I can get you to defend me, that’s good. But when the tables get turned, I ought to do my share. Right now we spend about $300 billion a year on defense, the Japanese spend around 30 billion in Asia, the Germans spend around 30 billion in Europe. For example, Germany will spend a trillion dollars building infrastructure over the next 10 years. It’s kind of easy to do if you only have to pick up a $30-billion tab to defend your country. The European Community is in a position to pay a lot more than they have in the past. I agree with the president: when they couldn’t, we should have; now that they can, they should. We sort of seem to have a desire to try to stay over there and control it. They don’t want us to control it, very candidly. So it I think is very important for us to let them assume more and more of the burden and for us to bring that money back here and rebuild our infrastructure, because we can only be a superpower if we are an economic superpower; and we can only be an economic superpower if we have a growing, expanding job base.
October 11, 1992 First Half Debate Transcript	The First Clinton-Bush-Perot Presidential Debate(First Half of Debate)	1992-10-11	Clinton-Bush-Perot	LEHRER	PEROT	It’s 10 cents a year cumulative. It finally gets to 50 cents at the end of the 5th year. I think “punish” is the wrong word. Again, see, I didn’t create this problem. We’re trying to solve it. Now, if you study our international competitors, some of our international competitors collect up to $3.50 a gallon in taxes, and they use that money to build infrastructure and to create jobs. We collect 35 cents, and we don’t have it to spend. I know it’s not popular, and I understand the nature of your question. But the people who will be helped the most by it are the working people who will get the jobs created because of this tax. Why do we have to do it? Because we have so mismanaged our country over the years, and it is now time to pay the fiddler. And if we don’t, we will be spending our children’s money. We have spent $4 trillion worth. An incredible number of young people are active in supporting my effort because they are deeply concerned that we have taken the American dream from them. I think it’s fitting that we’re on the campus of a university tonight. These young people, when they get out of this wonderful university, will have difficulty finding a job. We’ve got to clean this mess up, leave this country in good shape, and pass on the American dream to them. We’ve got to collect the taxes to do it. If there’s a fairer way, I’m all ears (laughter) –aah. (Laughter and applause) But–but–see, let me make it very clear. If people don’t have the stomach to fix these problems, I think it’s a good time to face it, November. If they do, then they will have heard the harsh reality of what we have to do. I’m not playing Lawrence Welk music tonight.
October 11, 1992 First Half Debate Transcript	The First Clinton-Bush-Perot Presidential Debate(First Half of Debate)	1992-10-11	Clinton-Bush-Perot	LEHRER	PEROT	Defense industries are going to have to convert to civilian industries. Many of them are. And the sooner they start, the sooner they’ll finish. And there will be a significant transition. And it’s very important that we not continue to let our industrial base deteriorate. We had someone who I’m sure regrets said it in the president’s staff said he didn’t care whether we made potato chips or computer chips. Well, anybody that thinks about it cares a great deal. Number one, you make more making computer chips than potato chips; and, number 2, 19 out of 20 computer chips that we have in this country now come from Japan. We’ve given away whole industries. So as we phase these industries over, there’s a whole of intellectual talent in these industries. A lot of these people in industries can be converted to the industries of tomorrow, and that’s where the high-paying jobs are. We need to have a very carefully thought through phase-over. Now, see, we practice 19th century capitalism. The rest of the world practices 21st century capitalism. I can’t handle that in a minute, but I hope we can get back into it later. In the rest of the world, the countries and the businesses would be working together to make this transition in an intelligent way.
October 11, 1992 First Half Debate Transcript	The First Clinton-Bush-Perot Presidential Debate(First Half of Debate)	1992-10-11	Clinton-Bush-Perot	LEHRER	PEROT	Step one, the American people send me up there, the day after election, I’ll get with congressional–we won’t even wait till inauguration, and I’ll ask the president to help me and I’ll ask his staff to help me. And we will start putting together teams to put together–to take all the plans that exist and do something with them. Please understand. There are great plans lying all over Washington nobody ever executes. It’s like having a blueprint for a house you never built. You don’t have anywhere to sleep. Now our challenge is to take these things, do something with them. Step one, we want to put America back to work, clean up the small business problem, have one task force at work on that. The second, you’ve got your big companies that are in trouble, including the defense industries–have another one on that. Have a 3rd task force on new industries of the future to make sure we nail those for our country and they don’t wind up in Europe and Asia. Convert from 19th to 21st century capitalism. See, we have an adversarial relationship between government and business. Our international competitors that are cleaning our plate have an intelligent relationship between government and business, and a supportive relationship. Then have another task force on crime because, next to jobs, our people are concerned about their safety. Health care, schools–one on the debt and deficit. And finally in that 90- day period before the inauguration, put together the framework for the town hall and give the American people a Christmas present. Show them by Christmas the first cut at these plans. By the time Congress comes into session to go to work, have those plans ready to go in front of Congress. Then get off to a flying start in ’93 to execute these plans. Now, there are people in this room and people on this stage who’ve been in meetings when I would sit there and say, “Is this the one we’re going to talk about or do something about?” Well, obviously, my orientation is let’s go do it. Now, put together your plans by Christmas, be ready to go when Congress goes, nail these things. Small business–you’ve got to have capital, you’ve got to credit, and many of them need mentors or coaches. And we can create more jobs there in a hurry than any other place.
October 11, 1992 First Half Debate Transcript	The First Clinton-Bush-Perot Presidential Debate(First Half of Debate)	1992-10-11	Clinton-Bush-Perot	LEHRER	PEROT	Keep the Federal Reserve independent, but let’s live in a world of reality. We live in a global economy, not a national economy. These interest rates we have now don’t make any sense. We have a four trillion dollar debt, and only in America would you finance seventy percent of it five years or less. So seventy percent of our debt is five years or less. It’s very interest sensitive. We have a four percent gap between what we pay for treasuries, and what Germany pays for one to five year treasuries. That gap is going to close, because the Arabs, the Japanese and folks in this country are going to start buying German treasuries because they can get more money. Every time our interest rates go up one percent, that adds 28 billion dollars to the deficit or to the debt. Whichever place you put it. We are sitting on a ticking time bomb folks, because we have totally mismanaged our country, and we had better get it back under control. Just think in your own business, if you had all of your long term problems financed short term. You’d go broke in a hurry.
October 11, 1992 First Half Debate Transcript	The First Clinton-Bush-Perot Presidential Debate(First Half of Debate)	1992-10-11	Clinton-Bush-Perot	LEHRER	PEROT	Again, if you’re not rich, you’re not a superpower. So we have two that I’d put as number one. I have number 1 and 1A. One is we’ve got to have the money to be able to pay for defense, and we’ve got to manufacture here. Believe it or not folks, you can’t ship it all overseas, you’ve got to make it here. And you can’t convert from potato chips to airplanes in an emergency. See, Willow Run could be converted from cars to airplanes in World War II because it was here. We’ve got to make things here. You can’t ship them overseas anymore. I hope we can talk more about that. Second thing, on priorities. We’ve got to help Russia succeed in its revolution and all of its republics. When we think of Russia, remember we’re thinking of many countries, now. We’ve got to help them. That’s pennies on the dollar compared to renewing the cold war. Third, we’ve got all kinds of agreements on paper, and some that are being executed on getting rid of nuclear warheads. Russia and its republics are out of control or at best in weak control right now. It’s a very unstable situation. You’ve got every rich Middle Eastern country over there trying to buy nuclear weapons. As you well know. And that will lead to another five star migraine headache down the road. We really need to nail down the big intercontinental ballistic missiles, the ones that can hit us from Russia. And we’ve focused on the tactical. We’ve made real progress there. We’ve got some agreement on the nuclear, but we don’t have those things put away yet. The sooner the better. So, in terms of priorities, we’ve got to be financially strong. Number two, we’ve got to take care of this missile situation and try to get the nuclear war behind us and give this thing very high priority. And number three, we need to help and support Russia and the republics in every possible way to become democratic capitalistic societies, and not just sit back and let those countries continue in turmoil. Because they could go back worse than things used to be. And believe me there are a lot of old boys in the K.G.B. and the military that liked it better the way it used to be.
October 11, 1992 First Half Debate Transcript	The First Clinton-Bush-Perot Presidential Debate(First Half of Debate)	1992-10-11	Clinton-Bush-Perot	LEHRER	PEROT	All right, it’s huge. China, is a huge country, broken into many provinces. It has some very elderly leaders that will not be around too much longer. Capitalism is growing and thriving across big portions of China. Asia will be our largest trading partner in the future. It will be a growing and a closer relationship. We have a delicate, tight-wire walk that we must go through at the present time to make sure that we do not cozy up to tyrants, to make sure that they don’t get the impression that they can suppress their people. But time is our friend there, because their leaders will change in not too many years, worst case, and their country is making great progress. One last point on the missiles. I don’t want the American people to be confused. We have written agreements and we have some missiles that have been destroyed, but we have a huge number of intercontinental ballistic missiles that are still in place in Russia. The fact that you have an agreement is one thing. Till they’re destroyed, some crazy person can either sell them or use them.
October 11, 1992 First Half Debate Transcript	The First Clinton-Bush-Perot Presidential Debate(First Half of Debate)	1992-10-11	Clinton-Bush-Perot	LEHRER	PEROT	I think if we learned anything in Vietnam is you first commit this nation before you commit the troops to the battlefield. We cannot send our people all over the world to solve every problem that comes up. This is basically a problem that is a primary concern to the European Community. Certainly we care about the people, we care about the children, we care about the tragedy. But it is inappropriate for us, just because there’s a problem somewhere around the world, to take the sons and daughters of working people–and make no mistake about it, our all- volunteer armed force is not made up of the sons and daughters of the beautiful people; it’s the working folks who send their sons and daughters to war, with a few exceptions. It’s very unlike World War II, when FDR’s sons flew missions. Everybody went. It’s a different world now. It’s very important that we not just, without thinking it through, just rush to every problem in the world and have our people torn to pieces.
October 11, 1992 Second Half Debate Transcript	The First Clinton-Bush-Perot Presidential Debate(Second Half of Debate)	1992-10-11	Clinton-Bush-Perot	LEHRER	PEROT	If I had to solve all the problems that face this country and I could be granted one wish as we started down the trail to rebuild the job base, the schools and so on and so forth, I would say a strong family unit in every home, where every child is loved, nurtured, and encouraged. A little child before they’re 18 months learns to think well of himself or herself or poorly. They develop a positive or negative self- image. At a very early age they learn how to learn. If we have children who are not surrounded with love and affection — you see, I look at my grandchildren and wonder if they’ll ever learn to walk because they’re always in someone’s arms. And I think, my gosh, wouldn’t it be wonderful if every child had that love and support. But they don’t. We will not be a great country unless we have a strong family unit in every home. And I think you can use the White House as a bully pulpit to stress the importance of these little children, particularly in their young and formative years, to mold these little precious pieces of clay so that they, too, can live rich full lives when they’re grown.
October 11, 1992 Second Half Debate Transcript	The First Clinton-Bush-Perot Presidential Debate(Second Half of Debate)	1992-10-11	Clinton-Bush-Perot	LEHRER	PEROT	Anytime you think you want to legalize drugs, go to a neonatal unit — if you can get in. They’re between 100 and 200% capacity up and down the East Coast. And the reason is crack babies being born, babies in the hospital 42 days. Typical cost to you and me is $125,000. Again and again and again, the mother disappears in 3 days, and the child becomes a ward of the state because he’s permanently and genetically damaged. Just look at those little children, and if anybody can even think about legalizing drugs, they’ve lost me. Now, let’s look at priorities. You know, we went on the Libyan raid — do you remember that one? — because we were worried to death that Gaddafi might be building up chemical weapons. We’ve got chemical warfare being conducted against our children on the streets in this country all day every day, and we don’t have the will to stamp it out. Now, again, if I get up there, if you send me, we’re going to have some blunt talks about this, and we’re really going to get down in the trenches and say, is this one you want to talk about or fix, because talk won’t do it, folks. There are guys that couldn’t get a job third shift in a Dairy Queen driving BMWs and Mercedes selling drugs. And these old boys are not going to quit easy.
