Title	Debate	Date	Participants	Moderators	Speaker	Text
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Well, first of all, thank you for doing this and looking forward to this, Mr. President.
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States. They’re not going to get that chance now because we’re in the middle of an election already. The election has already started. Tens of thousands of people already voted and so the thing that should happen is we should wait. We should wait and see what the outcome of this election is because that’s the only way the American people get to express their view is by who they elect as President and who they elect as Vice President. Now, what’s at stake here is the President’s made it clear, he wants to get rid of the Affordable Care Act. He’s been running on that, he ran on that and he’s been governing on that. He’s in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having health insurance now, if it goes into court. And the justice, I’m not opposed to the justice, she seems like a very fine person. But she’s written, before she went in the bench, which is her right, that she thinks that the Affordable Care Act is not Constitutional. The other thing that’s on the court, and if it’s struck down, what happens? Women’s rights are fundamentally changed. Once again, a woman could pay more money because she has a pre-existing condition of pregnancy. They’re able to charge women more for the same exact procedure a man gets. And that ended when we, in fact, passed the Affordable Care Act, and there’s a hundred million people who have pre-existing conditions and they’ll be taken away as well. Those pre-existing conditions, insurance companies are going to love this. And so it’s just not appropriate to do this before this election. If he wins the election and the Senate is Republican, then he goes forward. If not, we should wait until February.
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Number one, he knows what I proposed. What I proposed is that we expand Obamacare and we increase it. We do not wipe any. And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still. They can. They do. They will under my proposal.
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	The party is me. Right now, I am the Democratic Party.
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	The platform of the Democratic Party is what I, in fact, approved of, what I approved of. Now, here’s the deal. The deal is that it’s going to wipe out pre-existing conditions. And, by the way, the 200,000 people that have died on his watch, how many of those have survived? Well, there’s seven million people that contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act?
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	You’re not going to be able to shut him up.
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Let me finish. The point is that the President also is opposed to Roe V. Wade. That’s on the ballot as well and the court, in the court, and so that’s also at stake right now. And so the election is all-
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	It does not. It’s only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid. Anyone who qualifies for Medicaid would automatically be enrolled in the public option. The vast majority of the American people would still not be in that option. Number one. Number two.
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	I’m not going to listen to him. The fact of the matter is I beat Bernie Sanders.
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	I beat him by a whole hell of a lot.
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Look he’s the deal. I got very lucky. I’m going to get very lucky tonight as well.
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Because here’s the deal, here’s the deal. The fact is that everything he’s saying so far is simply a lie. I’m not here to call out his lies. Everybody knows he’s a liar.
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	The wrong guy, the wrong night, at the wrong time.
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	I’ll tell you what, he is not for any help for people needing healthcare.
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Because he, in fact, already has cost 10 million people their healthcare that they had from their employers because of his recession. Number one. Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away. He won’t ever look you in the eye and say that’s what he wants to do. Take it away.
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	He doesn’t know how. He doesn’t know how to do that.
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	He sends out wishful thinking. He has Executive Orders that have no power. He hasn’t lowered drug costs for anybody. He’s been promising a healthcare plan since he got elected. He has none, like almost everything else he talks about. He does not have a plan. He doesn’t have a plan. And the fact is this man doesn’t know what he’s talking about.
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Whatever position I take on that, that’ll become the issue. The issue is the American people should speak. You should go out and vote. You’re voting now. Vote and let your Senators know how strongly you feel.
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Make sure you, in fact, let people know, your Senators.
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	That was really a productive segment, wasn’t it? Keep yapping, man.
September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Good luck. 200,000 dead. As you said, over seven million infected in the United States. We, in fact, have 4% of the world’s population, 20% of the deaths. 40,000 people a day are contracting COVID. In addition to that, about between 750 and 1000 people a day are dying. When he was presented with that number, he said, “It is what it is.” Well, it is what it is because you are who you are. That’s why it is. The President has no plan. He hasn’t laid out anything. He knew all the way back in February how serious this crisis was. He knew it was a deadly disease. What did he do? He’s on tape as acknowledging he knew it. He said he didn’t tell us or give people a warning of it because he didn’t want to panic the American people. You don’t panic. He panicked. In addition to that, what did he do? He went in and we were insisting that the people we had in the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was. He did not even ask Xi to do that.
